,Unnamed: 0,ID,cluster
0,0,8B5A6715,0
1,1,0B8A5320,1
2,2,8Y9A2090,2
3,3,0B8A5446,-1
4,4,0B8A5452,-1
5,5,0B8A4764,3
6,6,8O4A8934,4
7,7,8O4A8920,5
8,8,0B8A5308,1
9,9,1 (15),6
10,10,0B8A4943,2
11,11,8B5A6271,0
12,12,0B8A5122,-1
13,13,0B8A5650,-1
14,14,0B8A6359,0
15,15,0B8A6417,0
16,16,0B8A6403,-1
17,17,0B8A5687,7
18,18,1 (42),8
19,19,8Y9A1770,9
20,20,8B5A6305,10
21,21,0B8A5730,-1
22,22,0B8A5056,0
23,23,8B5A6463,11
24,24,8Y9A1823,0
25,25,8B5A6311,0
26,26,8O4A0039,-1
27,27,1 (54),8
28,28,0B8A5081,0
29,29,0B8A6588,-1
30,30,0B8A5254,4
31,31,0B8A5526,-1
32,32,8B5A6675,-1
33,33,0B8A5268,12
34,34,8B5A6891,13
35,35,8B5A6649,-1
36,36,8Y9A2641,14
37,37,0B8A5297,12
38,38,8O4A8667,3
39,39,0B8A5283,4
40,40,8O4A8897,15
41,41,8Y9A2132,-1
42,42,0B8A5282,4
43,43,8Y9A2126,0
44,44,8O4A8841,0
45,45,8O4A8869,16
46,46,8Y9A2697,17
47,47,0B8A5255,4
48,48,8Y9A2683,-1
49,49,8B5A6660,3
50,50,8Y9A1605,0
51,51,0B8A5080,0
52,52,8Y9A1639,-1
53,53,8Y9A2324,-1
54,54,0B8A5094,0
55,55,0B8A6562,-1
56,56,0B8A5043,18
57,57,8Y9A2481,17
58,58,8Y9A2278,0
59,59,8Y9A1981,2
60,60,0B8A5686,19
61,61,0B8A6402,20
62,62,0B8A6364,0
63,63,0B8A6370,0
64,64,0B8A5137,0
65,65,8Y9A1956,0
66,66,0B8A5645,-1
67,67,1 (39),8
68,68,8B5A6728,-1
69,69,0B8A5335,4
70,70,0B8A5321,1
71,71,8Y9A2091,21
72,72,0B8A5337,4
73,73,0B8A4983,-1
74,74,1 (19),8
75,75,0B8A5323,1
76,76,8O4A8923,5
77,77,0B8A5479,0
78,78,8B5A6919,22
79,79,0B8A5486,-1
80,80,8Y9A2078,0
81,81,0B8A4968,0
82,82,8Y9A1954,0
83,83,8B5A6500,23
84,84,0B8A5135,-1
85,85,8B5A6514,8
86,86,8Y9A1940,0
87,87,0B8A6399,-1
88,88,0B8A5690,-1
89,89,8Y9A2534,24
90,90,0B8A5684,-1
91,91,8Y9A1767,-1
92,92,8B5A6474,25
93,93,0B8A6548,19
94,94,1 (58),8
95,95,0B8A5055,0
96,96,8B5A6306,10
97,97,0B8A5733,-1
98,98,8Y9A2332,-1
99,99,8Y9A1613,-1
100,100,8O4A0006,-1
101,101,8B5A6886,-1
102,102,8B5A6689,-1
103,103,8O4A8658,26
104,104,0B8A4809,3
105,105,0B8A4835,27
106,106,8O4A8665,3
107,107,0B8A5295,12
108,108,0B8A5281,4
109,109,8Y9A2131,-1
110,110,0B8A4821,-1
111,111,8B5A6887,-1
112,112,8B5A6893,-1
113,113,0B8A5530,-1
114,114,0B8A5256,12
115,115,8B5A6663,0
116,116,0B8A5242,12
117,117,0B8A5524,-1
118,118,8Y9A1612,-1
119,119,8Y9A2441,24
120,120,1 (6),6
121,121,8Y9A2327,-1
122,122,1 (23),28
123,123,8Y9A2482,24
124,124,8Y9A1982,-1
125,125,8Y9A2253,0
